time,open,high,low,close,volume,RSI,SMA_25,SMA_50,wave_tag,tag,strategy_signal
2025-05-30 19:49:00,105775.39,105775.39,105720.87,105770.68,12.4607,35.73482428114903,105871.8296,105811.9714,0,0,0
2025-05-30 19:50:00,105770.68,105770.68,105734.03,105761.29,4.2248,33.333333333331794,105866.5656,105815.4494,0,0,0
2025-05-30 19:51:00,105761.29,105809.23,105761.29,105809.23,5.3188,42.11958762886543,105863.2568,105819.05899999998,0,0,0
2025-05-30 19:52:00,105809.23,105845.89,105809.23,105845.89,3.4963,45.3653726385714,105863.6332,105822.161,0,0,0
2025-05-30 19:53:00,105845.89,105887.25,105831.79,105887.25,7.4208,50.443686006826425,105864.4228,105826.1466,0,0,0
2025-05-30 19:54:00,105887.25,105899.47,105883.48,105883.48,4.2161,47.8259811081896,105864.7232,105830.5832,0,0,0
2025-05-30 19:55:00,105883.48,105933.31,105883.48,105933.31,8.7712,47.34398034398092,105867.1676,105834.98239999998,0,0,0
2025-05-30 19:56:00,105933.31,105938.01,105918.26,105918.26,9.9183,50.12095200936312,105867.7312,105838.7798,0,0,0
2025-05-30 19:57:00,105918.26,105923.9,105918.26,105923.9,2.1457,49.87714987714958,105867.806,105844.7392,0,0,0
2025-05-30 19:58:00,105923.9,105962.45,105923.9,105962.45,5.0877,54.46536698881568,105872.8824,105851.3758,0,0,0
2025-05-30 19:59:00,105962.45,105962.45,105879.73,105879.73,28.8679,51.15184763943728,105872.8824,105854.7224,0,0,0
2025-05-30 20:00:00,105879.73,105886.04,105879.72,105886.04,3.9473,52.926117224342775,105873.92479999998,105858.3266,0,0,0
2025-05-30 20:01:00,105859.98,105921.09,105859.98,105915.2,3.0251,68.09451572262259,105875.8704,105861.8372,0,0,0
2025-05-30 20:02:00,105915.2,105938.01,105915.19,105930.48,5.2904,71.63278353151705,105878.4272,105865.221,0,0,0
2025-05-30 20:03:00,105930.48,105975.61,105930.48,105946.47,4.0718,72.1036087011188,105881.02159999998,105868.2668,0,0,0
2025-05-30 20:04:00,105925.79,105940.83,105925.79,105925.79,1.1915,70.11297500855717,105882.71399999998,105871.6508,0,0,0
2025-05-30 20:05:00,105922.03,105922.03,105861.86,105861.87,3.8364,56.1941071260468,105881.1352,105873.907,0,0,0
2025-05-30 20:06:00,105861.87,105912.62,105861.87,105899.47,14.1841,56.29079979335909,105878.9168,105875.6368,0,0,0
2025-05-30 20:07:00,105899.47,105933.31,105899.47,105933.31,3.426,55.50509155232525,105879.556,105878.2124,0,0,0
2025-05-30 20:08:00,105933.31,105933.31,105933.31,105933.31,1.7304,56.00984152254132,105879.89479999998,105880.694,0,0,0
2025-05-30 20:09:00,105899.47,105899.47,105575.17,105676.68,12.1664,29.34966284178552,105869.9684,105877.40399999998,0,0,0
2025-05-30 20:10:00,105664.47,105664.47,105302.56,105432.29,73.3894,21.4373875938928,105852.484,105868.4364,0,0,0
2025-05-30 20:11:00,105426.64,105439.81,105153.11,105240.53,72.472,17.045224385869204,105827.706,105855.6712,1,0,0
2025-05-30 20:12:00,105240.53,105422.89,105240.53,105348.62,55.0527,22.259280349250417,105810.6728,105844.4662,0,0,0
2025-05-30 20:13:00,105348.62,105348.62,105247.11,105268.73,25.4772,22.31636370226745,105790.9704,105832.6222,0,0,0
2025-05-30 20:14:00,105268.73,105417.25,105257.45,105369.31,56.8062,28.43021848206348,105774.9156,105823.3726,0,0,0
2025-05-30 20:15:00,105369.31,105465.18,105348.62,105410.67,17.0996,29.15182519152755,105760.8908,105813.7282,0,0,0
2025-05-30 20:16:00,105410.67,105436.04,105349.56,105436.04,5.1217,29.73772641586756,105745.9632,105804.61,0,0,0
2025-05-30 20:17:00,105436.04,105463.31,105364.61,105452.03,28.8844,29.73772641586756,105730.2088,105796.921,0,0,0
2025-05-30 20:18:00,105452.03,105481.17,105425.7,105481.17,21.8491,31.90483167285292,105713.9656,105789.1942,0,0,0
2025-05-30 20:19:00,105495.26,105519.7,105495.26,105514.06,19.1702,35.47802560269898,105699.1888,105781.956,2,0,0
2025-05-30 20:20:00,105514.06,105514.06,105428.53,105436.98,13.216,31.30613333764451,105679.3356,105773.2516,0,0,0
2025-05-30 20:21:00,105458.61,105503.73,105458.61,105471.76,6.9067,31.35829395371364,105661.4756,105764.6034,0,0,0
2025-05-30 20:22:00,105450.14,105465.18,105438.87,105457.67,14.5935,31.005399188524265,105642.8264,105755.3162,0,0,0
2025-05-30 20:23:00,105457.67,105457.67,105366.48,105366.48,8.4255,35.72611816675871,105618.9876,105745.935,0,0,0
